subject,run,onset,duration,genre,track,start,end
sub-003,01,330,15,'country',85,1.07,16.07
sub-003,01,345,15,'blues',17,6.44,21.44
sub-003,01,360,15,'disco',75,11.03,26.03
sub-003,01,375,15,'metal',39,13.11,28.11
sub-003,01,390,15,'reggae',33,12.55,27.55
sub-003,01,405,15,'classical',45,8.35,23.35
sub-003,01,420,15,'hiphop',95,8.59,23.59
sub-003,01,435,15,'jazz',44,9.49,24.49
sub-003,01,450,15,'pop',32,10.7,25.7
sub-003,01,465,15,'rock',32,4.48,19.48
sub-003,01,480,15,'country',85,1.07,16.07
sub-003,01,495,15,'blues',17,6.44,21.44
sub-003,01,510,15,'disco',75,11.03,26.03
sub-003,01,525,15,'metal',39,13.11,28.11
sub-003,01,540,15,'reggae',33,12.55,27.55
sub-003,01,555,15,'classical',45,8.35,23.35
sub-003,01,570,15,'hiphop',95,8.59,23.59
sub-003,01,585,15,'jazz',44,9.49,24.49
sub-003,01,600,15,'pop',32,10.7,25.7
sub-003,02,0,15,'metal',63,4.97,19.97
sub-003,02,15,15,'reggae',1,11.37,26.37
sub-003,02,30,15,'rock',74,1.95,16.95
sub-003,02,45,15,'hiphop',19,7.91,22.91
sub-003,02,60,15,'pop',96,7.39,22.39
sub-003,02,75,15,'country',12,11.43,26.43
sub-003,02,90,15,'jazz',40,14.3,29.3
sub-003,02,105,15,'blues',40,10.62,25.62
sub-003,02,120,15,'classical',71,6.38,21.38
sub-003,02,135,15,'disco',71,0.81,15.81
sub-003,02,150,15,'metal',63,4.97,19.97
sub-003,02,165,15,'reggae',1,11.37,26.37
sub-003,02,180,15,'rock',74,1.95,16.95
sub-003,02,195,15,'hiphop',19,7.91,22.91
